Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,split,n_samples,model,test_lang,n_train,n_test
CNN,0,0.8183,0.0076,0.8179,pooled,3980.0,MERT,,,
Layer 1,1,0.857,0.0076,0.8565,pooled,3980.0,MERT,,,
Layer 2,2,0.8802,0.0059,0.8801,pooled,3980.0,MERT,,,
Layer 3,3,0.8927,0.0098,0.8926,pooled,3980.0,MERT,,,
Layer 4,4,0.9023,0.0115,0.9021,pooled,3980.0,MERT,,,
Layer 5,5,0.9075,0.0075,0.9075,pooled,3980.0,MERT,,,
Layer 6,6,0.9075,0.0091,0.9073,pooled,3980.0,MERT,,,
Layer 7,7,0.9055,0.0038,0.9054,pooled,3980.0,MERT,,,
Layer 8,8,0.9035,0.005,0.9029,pooled,3980.0,MERT,,,
Layer 9,9,0.905,0.0072,0.9048,pooled,3980.0,MERT,,,
Layer 10,10,0.9035,0.0073,0.9033,pooled,3980.0,MERT,,,
Layer 11,11,0.899,0.0042,0.8985,pooled,3980.0,MERT,,,
Layer 12,12,0.8997,0.0116,0.8995,pooled,3980.0,MERT,,,
Layer 13,13,0.8967,0.01,0.8964,pooled,3980.0,MERT,,,
Layer 14,14,0.8982,0.0063,0.8977,pooled,3980.0,MERT,,,
Layer 15,15,0.8965,0.0046,0.8961,pooled,3980.0,MERT,,,
Layer 16,16,0.8982,0.0029,0.8979,pooled,3980.0,MERT,,,
Layer 17,17,0.8897,0.0064,0.8895,pooled,3980.0,MERT,,,
Layer 18,18,0.8945,0.0136,0.8941,pooled,3980.0,MERT,,,
Layer 19,19,0.896,0.015,0.8958,pooled,3980.0,MERT,,,
Layer 20,20,0.8955,0.0142,0.8951,pooled,3980.0,MERT,,,
Layer 21,21,0.8839,0.0141,0.8833,pooled,3980.0,MERT,,,
Layer 22,22,0.8809,0.0069,0.8805,pooled,3980.0,MERT,,,
Layer 23,23,0.8746,0.0115,0.8742,pooled,3980.0,MERT,,,
Layer 24,24,0.8756,0.0081,0.8748,pooled,3980.0,MERT,,,
CNN,0,0.4525,,0.4808,LOLO_English,,MERT,English,1434.0,2546.0
Layer 1,1,0.2938,,0.2742,LOLO_English,,MERT,English,1434.0,2546.0
Layer 2,2,0.2388,,0.1788,LOLO_English,,MERT,English,1434.0,2546.0
Layer 3,3,0.3472,,0.3367,LOLO_English,,MERT,English,1434.0,2546.0
Layer 4,4,0.5436,,0.5734,LOLO_English,,MERT,English,1434.0,2546.0
Layer 5,5,0.4709,,0.5047,LOLO_English,,MERT,English,1434.0,2546.0
Layer 6,6,0.597,,0.6175,LOLO_English,,MERT,English,1434.0,2546.0
Layer 7,7,0.6265,,0.6439,LOLO_English,,MERT,English,1434.0,2546.0
Layer 8,8,0.6002,,0.6225,LOLO_English,,MERT,English,1434.0,2546.0
Layer 9,9,0.619,,0.6395,LOLO_English,,MERT,English,1434.0,2546.0
Layer 10,10,0.63,,0.6473,LOLO_English,,MERT,English,1434.0,2546.0
Layer 11,11,0.553,,0.5748,LOLO_English,,MERT,English,1434.0,2546.0
Layer 12,12,0.4485,,0.4768,LOLO_English,,MERT,English,1434.0,2546.0
Layer 13,13,0.6182,,0.6362,LOLO_English,,MERT,English,1434.0,2546.0
Layer 14,14,0.5601,,0.579,LOLO_English,,MERT,English,1434.0,2546.0
Layer 15,15,0.5157,,0.5354,LOLO_English,,MERT,English,1434.0,2546.0
Layer 16,16,0.4863,,0.51,LOLO_English,,MERT,English,1434.0,2546.0
Layer 17,17,0.4753,,0.4941,LOLO_English,,MERT,English,1434.0,2546.0
Layer 18,18,0.498,,0.5185,LOLO_English,,MERT,English,1434.0,2546.0
Layer 19,19,0.3582,,0.3674,LOLO_English,,MERT,English,1434.0,2546.0
Layer 20,20,0.3354,,0.3473,LOLO_English,,MERT,English,1434.0,2546.0
Layer 21,21,0.3134,,0.318,LOLO_English,,MERT,English,1434.0,2546.0
Layer 22,22,0.3971,,0.4184,LOLO_English,,MERT,English,1434.0,2546.0
Layer 23,23,0.3885,,0.4112,LOLO_English,,MERT,English,1434.0,2546.0
Layer 24,24,0.3009,,0.2932,LOLO_English,,MERT,English,1434.0,2546.0
CNN,0,0.7013,,0.6718,LOLO_German,,MERT,German,3605.0,375.0
Layer 1,1,0.7253,,0.7028,LOLO_German,,MERT,German,3605.0,375.0
Layer 2,2,0.8213,,0.7939,LOLO_German,,MERT,German,3605.0,375.0
Layer 3,3,0.8427,,0.8216,LOLO_German,,MERT,German,3605.0,375.0
Layer 4,4,0.8773,,0.8728,LOLO_German,,MERT,German,3605.0,375.0
Layer 5,5,0.8667,,0.8625,LOLO_German,,MERT,German,3605.0,375.0
Layer 6,6,0.8,,0.8053,LOLO_German,,MERT,German,3605.0,375.0
Layer 7,7,0.816,,0.8187,LOLO_German,,MERT,German,3605.0,375.0
Layer 8,8,0.832,,0.8217,LOLO_German,,MERT,German,3605.0,375.0
Layer 9,9,0.8267,,0.8088,LOLO_German,,MERT,German,3605.0,375.0
Layer 10,10,0.824,,0.8223,LOLO_German,,MERT,German,3605.0,375.0
Layer 11,11,0.8,,0.7982,LOLO_German,,MERT,German,3605.0,375.0
Layer 12,12,0.808,,0.8194,LOLO_German,,MERT,German,3605.0,375.0
Layer 13,13,0.76,,0.7677,LOLO_German,,MERT,German,3605.0,375.0
Layer 14,14,0.7333,,0.7465,LOLO_German,,MERT,German,3605.0,375.0
Layer 15,15,0.7947,,0.8064,LOLO_German,,MERT,German,3605.0,375.0
Layer 16,16,0.7413,,0.7619,LOLO_German,,MERT,German,3605.0,375.0
Layer 17,17,0.672,,0.7015,LOLO_German,,MERT,German,3605.0,375.0
Layer 18,18,0.7013,,0.7312,LOLO_German,,MERT,German,3605.0,375.0
Layer 19,19,0.6907,,0.7177,LOLO_German,,MERT,German,3605.0,375.0
Layer 20,20,0.7147,,0.7408,LOLO_German,,MERT,German,3605.0,375.0
Layer 21,21,0.7547,,0.7712,LOLO_German,,MERT,German,3605.0,375.0
Layer 22,22,0.7093,,0.7227,LOLO_German,,MERT,German,3605.0,375.0
Layer 23,23,0.6613,,0.6863,LOLO_German,,MERT,German,3605.0,375.0
Layer 24,24,0.7307,,0.7451,LOLO_German,,MERT,German,3605.0,375.0
CNN,0,0.4286,,0.4252,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 1,1,0.5135,,0.5104,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 2,2,0.4928,,0.4803,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 3,3,0.4451,,0.4258,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 4,4,0.5176,,0.5081,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 5,5,0.5362,,0.5241,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 6,6,0.5114,,0.4904,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 7,7,0.5072,,0.4819,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 8,8,0.5176,,0.4946,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 9,9,0.5155,,0.4796,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 10,10,0.5052,,0.4696,LOLO_Greek,,MERT,Greek,3497.0,483.0
Layer 11,11,0.5093,,0.4722,LOLO_Greek,,MERT,Greek,3497.0,483.0
