Layer,Layer_Num,Accuracy,Weighted_F1,split,test_lang,n_train,n_test
CNN,0,0.5471,0.4976,LOLO_English,English,1434,2546
Layer 1,1,0.6257,0.5702,LOLO_English,English,1434,2546
Layer 2,2,0.4529,0.4732,LOLO_English,English,1434,2546
Layer 3,3,0.6524,0.6469,LOLO_English,English,1434,2546
Layer 4,4,0.6858,0.6665,LOLO_English,English,1434,2546
Layer 5,5,0.6064,0.6129,LOLO_English,English,1434,2546
Layer 6,6,0.3833,0.3865,LOLO_English,English,1434,2546
Layer 7,7,0.5621,0.5849,LOLO_English,English,1434,2546
Layer 8,8,0.4195,0.4421,LOLO_English,English,1434,2546
Layer 9,9,0.5605,0.5885,LOLO_English,English,1434,2546
Layer 10,10,0.454,0.4616,LOLO_English,English,1434,2546
Layer 11,11,0.6681,0.6798,LOLO_English,English,1434,2546
Layer 12,12,0.5204,0.5317,LOLO_English,English,1434,2546
Layer 13,13,0.5825,0.5961,LOLO_English,English,1434,2546
Layer 14,14,0.4823,0.5047,LOLO_English,English,1434,2546
Layer 15,15,0.4403,0.4266,LOLO_English,English,1434,2546
Layer 16,16,0.5408,0.5576,LOLO_English,English,1434,2546
Layer 17,17,0.729,0.7314,LOLO_English,English,1434,2546
Layer 18,18,0.696,0.6969,LOLO_English,English,1434,2546
Layer 19,19,0.6288,0.6371,LOLO_English,English,1434,2546
Layer 20,20,0.6143,0.6316,LOLO_English,English,1434,2546
Layer 21,21,0.443,0.4497,LOLO_English,English,1434,2546
Layer 22,22,0.5758,0.5818,LOLO_English,English,1434,2546
Layer 23,23,0.6253,0.626,LOLO_English,English,1434,2546
Layer 24,24,0.6563,0.6471,LOLO_English,English,1434,2546
CNN,0,0.6827,0.668,LOLO_German,German,3605,375
Layer 1,1,0.7467,0.7043,LOLO_German,German,3605,375
Layer 2,2,0.7627,0.7344,LOLO_German,German,3605,375
Layer 3,3,0.8267,0.8212,LOLO_German,German,3605,375
Layer 4,4,0.8667,0.8557,LOLO_German,German,3605,375
Layer 5,5,0.904,0.8985,LOLO_German,German,3605,375
Layer 6,6,0.8933,0.8852,LOLO_German,German,3605,375
Layer 7,7,0.8907,0.8913,LOLO_German,German,3605,375
Layer 8,8,0.9067,0.9034,LOLO_German,German,3605,375
Layer 9,9,0.8693,0.8724,LOLO_German,German,3605,375
Layer 10,10,0.9333,0.9334,LOLO_German,German,3605,375
Layer 11,11,0.936,0.9379,LOLO_German,German,3605,375
Layer 12,12,0.696,0.7086,LOLO_German,German,3605,375
Layer 13,13,0.6053,0.6067,LOLO_German,German,3605,375
Layer 14,14,0.6693,0.6828,LOLO_German,German,3605,375
Layer 15,15,0.6507,0.6812,LOLO_German,German,3605,375
Layer 16,16,0.9307,0.9321,LOLO_German,German,3605,375
Layer 17,17,0.912,0.9148,LOLO_German,German,3605,375
Layer 18,18,0.8907,0.8964,LOLO_German,German,3605,375
Layer 19,19,0.7893,0.8081,LOLO_German,German,3605,375
Layer 20,20,0.68,0.7117,LOLO_German,German,3605,375
Layer 21,21,0.7067,0.7312,LOLO_German,German,3605,375
Layer 22,22,0.6293,0.6445,LOLO_German,German,3605,375
Layer 23,23,0.672,0.6966,LOLO_German,German,3605,375
Layer 24,24,0.672,0.6965,LOLO_German,German,3605,375
